Прайс-лист на 23 сентября 2026 г.									

Ценовая группа		Розничная	АКЦИЯ
	Видеодомофон TANTOS Sherlock(white)	12 300,00	12 000,00
	Видеодомофон WHITE MAGIC 7HD v/4821	12 450,00	12 450,00
	Видеокамера EL ICp1.0(2.8)W	2 000,00	1 800,00
	Видеокамера EL ICp2.1(2.8)W	3 986,00	3 300,00
	Видеокамера HIT 22M NoviCam v1430	3 890,00	3 500,00
	Видеокамера HIT 52M NoviCam v1432	4 390,00	3 951,00
	Видеокамера Imou IPC-C22 CP	2 990,00	2 990,00
	Видеокамера Imou IPC-C22EP	4 390,00	4 150,00
	Видеокамера ip уличная  RVi-1NCT5026  (2.8) agent	6 500,00	6 300,00
	Видеокамера ip уличная BMSCGL500WH (2,8) агент Longse	6 300,00	6 100,00
	Видеокамера ip уличная Fix BR500-U1P (2.8) agent	6 500,00	5 500,00
	Видеокамера ip уличная LMDNGL500 (2,8) агент Longse купольная	6 300,00	6 000,00
	Видеокамера ip уличная LMDNGL500 (2,8) агент Longse купольная а/в	6 300,00	6 000,00
	Видеокамера ip уличная RVi-1NCT2177 (2,7-13,.5 мм) RVi моторизированная	10 950,00	10 500,00
	Видеокамера ip уличная купольная RVi-1NCD2167 (2.8) agent	6 500,00	5 500,00
	Видеокамера NoviCam Basic 22	3 865,00	3 484,00
	Видеокамера NoviCam FC11	1 320,00	1 190,00
	Видеокамера NoviCam FC12W	1 830,00	1 651,00
	Видеокамера NoviCam FC22W	2 890,00	2 607,00
	Видеокамера NoviCam FC23W	2 630,00	2 369,00
	Видеокамера NoviCam FC29W	5 400,00	4 862,00
	Видеокамера NoviCam HIT 22	3 890,00	3 501,00
	Видеокамера NoviCam HIT 22 микрофон	3 390,00	3 100,00
	Видеокамера NoviCam HIT 52 микрофон	4 190,00	3 771,00
	Видеокамера NoviCam HIT12	1 929,00	1 736,00
	Видеокамера Novicam LITE 20	1 889,00	1 700,00
	Видеокамера NoviCam N43W	7 828,00	
	Видеокамера NoviCam NC 22VPR 2.8	9 000,00	8 190,00
	Видеокамера NoviCam PRO 42	9 590,00	8 631,00
	Видеокамера NoviCam STAR 22	3 390,00	2 961,00
	Видеокамера NoviCam STAR 28	5 890,00	5 300,00
	Видеокамера NoviCam ТC32W	3 530,00	3 179,00
	Видеокамера Optimus AHD- H012.1(2.8)	2 672,00	2 271,00
	Видеокамера Optimus AHD- H012.1(2.8)_V.3	3 353,00	2 850,00
	Видеокамера Optimus AHD- H012.1(2.8)E	2 024,00	1 721,00
	Видеокамера Optimus AHD- H012.1(2.8)I	3 819,00	3 246,00
	Видеокамера Optimus AHD- H012.1(3,6)	2 481,00	2 109,00
	Видеокамера Optimus AHD- H012.1(3,6)Е_v.4	2 714,00	2 307,00
	Видеокамера Optimus AHD- H015.0(2.8)_V.3	4 008,00	3 407,00
	Видеокамера Optimus AHD- H015.0(2.8)_V.4	3 894,00	3 500,00
	Видеокамера Optimus AHD- H015.0(3,6)_V.3	4 029,00	3 425,00
	Видеокамера Optimus AHD- H018.0(2.8)	5 154,00	4 381,00
	Видеокамера Optimus AHD- H022.1(2,8-12)	3 626,00	3 082,00
	Видеокамера Optimus AHD- H022.1(2.8)	2 404,00	2 044,00
	Видеокамера Optimus AHD- H022.1(2.8)Е_V.2	2 077,00	1 766,00
	Видеокамера Optimus AHD- H022.1(2.8)Е_V.3	4 029,00	3 425,00
	Видеокамера Optimus AHD- H022.1(3,6)_V.2	1 840,00	2 164,00
	Видеокамера Optimus AHD- H022.1(3,6)Е	1 549,00	1 317,00
	Видеокамера Optimus AHD- H025.0 (2.8-12)_V.2	4 615,00	3 923,00
	Видеокамера Optimus AHD- M011.0(2.8)E	1 986,00	1 688,00
	Видеокамера Optimus AHD- M021.0(2.8)E	1 280,00	1 088,00
	Видеокамера Optimus AHD- M041.3(3.6)	2 099,00	1 784,00
	Видеокамера Optimus AHD- M051,3(3,6)	2 099,00	1 784,00
	Видеокамера Optimus AHD-H012.1(3.6)	2 481,00	2 109,00
	Видеокамера Optimus AHD-H042.1(2.8)_V.2	2 610,00	2 219,00
	Видеокамера Optimus AHD-H042.1(2.8)Е_V.2	2 544,00	2 163,00
	Видеокамера Optimus AHD-H042.1(2.8)Е_V.3	2 756,00	2 343,00
	Видеокамера Optimus AHD-H052.1(3.6)	2 544,00	2 163,00
	Видеокамера Optimus Basic IP- P015.0(2.8)MD	10 997,00	9 997,00
	Видеокамера Optimus Basic IP- P042.1(2.8)MD	10 264,00	9 264,00
	Видеокамера Optimus IP-  Е012.1(2.8)PE	3 580,00	3 043,00
	Видеокамера Optimus IP-  Е072.1(2.8)MPE_V.2	4 986,00	4 238,00
	Видеокамера Optimus IP- E014.0(2.8)MPC	5 200,00	4 400,00
	Видеокамера Optimus IP- E014.0(4.0)P	7 254,00	6 166,00
	Видеокамера Optimus IP- E041.0(3.6)	3 590,00	3 052,00
	Видеокамера Optimus IP- E042.1(2.8)E_V.1	4 200,00	3 570,00
	Видеокамера Optimus IP- E042.1(2.8)P_V.2	5 701,00	5 500,00
	Видеокамера Optimus IP- E042.1(2.8)PE_V.2	4 986,00	4 238,00
	Видеокамера Optimus IP- E042.1(3,6)_H265	5 289,00	4 496,00
	Видеокамера Optimus IP- E044.0(2.8)MPC_ V.1	6 000,00	
	Видеокамера Optimus IP- H012.1(2.8)PW_V.3	7 636,00	6 491,00
	Видеокамера Optimus IP- H012.1(2.8)W	6 855,00	5 827,00
	Видеокамера Optimus IP- H014.0(2.8)MW	6 350,00	5 400,00
	Видеокамера Optimus IP- H061.0W(2.8)	5 710,00	4 853,00
	Видеокамера Optimus IP- S012.1 (2.8)P	6 344,00	5 392,00
	Видеокамера Optimus IP- S012.1(2.8)PI	7 320,00	6 222,00
	Видеокамера Optimus IP- S015.0(2.8)MPC	8 465,00	7 196,00
	Видеокамера Optimus IP- S015.0(2.8)MPC  (b)	8 678,00	7 376,00
	Видеокамера Optimus IP- S015.0(2.8)P	7 638,00	6 492,00
	Видеокамера Optimus IP- S042.1(2.8)MP_v.1	5 920,00	5 050,00
	Видеокамера Optimus IP- S042.1(2.8)MPС_v.1	6 200,00	5 300,00
	Видеокамера Optimus IP- S045.0(2.8)MP_V 1	8 675,00	8 041,00
	Видеокамера Optimus IP- S045.0(2.8)MP_v.1	7 405,00	6 294,00
	Видеокамера Optimus IP- S045.0(2.8)P	8 909,00	7 573,00
	Видеокамера Optimus IP- S072.1(2.8)MP_V.1	7 829,00	7 193,00
	Видеокамера Optimus IP- S072.1(2.8)МP	7 596,00	6 456,00
	Видеокамера Optimus IP- S072.1(2.8)МPE_v.2	6 132,00	5 212,00
	Видеокамера Optimus IP-H042.1(2.8)MW	7 447,00	6 330,00
	Видеокамера Optimus IP-S042.1(2.8)MP	7 636,00	6 491,00
	Видеокамера Optimus IP-Е072.1(2.8)PE_V.2	6 151,00	5 228,00
	Видеокамера Optimus SMART IP- P015.0(x4)D	25 308,00	25 308,00
	Видеомодуль MKV-VC1	2 494,00	2 320,00
	Видеорегистратор NoviCam AR 1104F	3 783,00	3 406,00
	Видеорегистратор NoviCam FR 1004	11 590,00	10 430,00
	Видеорегистратор NoviCam FR 1008L	9 090,00	8 181,00
	Видеорегистратор NoviCam FR 1104	8 190,00	7 371,00
	Видеорегистратор NoviCam FR 1104 L	8 090,00	7 674,00
	Видеорегистратор NoviCam FR 1108	9 090,00	1 180,00
	Видеорегистратор NoviCam FR 1208	17 990,00	16 191,00
	Видеорегистратор NoviCam TR 1008A	6 877,00	6 195,00
	Видеорегистратор NoviCam TR 1104F	7 274,00	6 552,00
	Видеорегистратор NoviCam TR 1208F	15 800,00	14 223,00
	Видеорегистратор Optimus AHDR 2004 HLЕ _V.2	5 294,00	4 500,00
	Видеорегистратор Optimus AHDR 2004 HLЕ 960р	4 509,00	3 933,00
	Видеорегистратор Optimus AHDR 2004HL  H.265	6 959,00	5 915,00
	Видеорегистратор Optimus AHDR 3016 Е	22 794,00	19 375,00
	Видеорегистратор Optimus AHDR-2004N	4 759,00	4 045,00
	Видеорегистратор Optimus AHDR-2004NЕ	4 110,00	3 493,00
	Видеорегистратор Optimus AHDR-2008HL	8 975,00	7 628,00
	Видеорегистратор Optimus AHDR-2008NE	6 206,00	5 275,00
	Видеорегистратор Optimus AHDR-3004 HЕ V.1	5 920,00	5 032,00
	Видеорегистратор Optimus AHDR-3004 HЕ V.4	6 482,00	5 510,00
	Видеорегистратор Optimus AHDR-3004HЕ_V.2	6 363,00	5 409,00
	Видеорегистратор Optimus AHDR-3008Е_V.1	9 439,00	8 023,00
	Видеорегистратор Optimus AHDR-3008Е_V.2	8 485,00	7 212,00
	Видеорегистратор Optimus AHDR-4004L	7 212,00	6 130,00
	Видеорегистратор Optimus AHDR-4004L_V.3	8 338,00	7 100,00
	Видеорегистратор Optimus AHDR-4008	18 456,00	15 687,00
	Видеорегистратор Optimus IP NVR - 5161 - 8 P_ v.1	16 315,00	13 868,00
	Видеорегистратор Optimus IP NVR - 5161 - 8 P_ v.2	14 639,00	12 443,00
	Видеорегистратор Optimus IP NVR-2321	8 879,00	7 547,00
	Видеорегистратор Optimus NVR-5101_V.1	7 636,00	6 768,00
	Видеорегистратор Optimus NVR-5101-4P_V.2	9 100,00	7 700,00
	Видеорегистратор Optimus NVR-5101-8P_V.2	12 284,00	11 000,00
	Вилка	75,00	70,00
	Винты М4	10,00	8,00
	Винты М5*20 гайка и шайба	6,20	6,00
	Восстановление гофры (от электрического щитка до двери)	500,00	
	Восстановление обрыва кабеля (КСПВ)	850,00	800,00
	Восстановление обрыва кабеля (ТРП)	250,00	
	Восстановление системных настроек вызывной панели	1 000,00	
	Восстановление уплотнителя двери (частично до 50%)	100,00	
	Вызов мастера на объект	1 000,00	500,00
	Вызов мастера, осмотр системы домофона (выявление неисправности)	300,00	
	Вызов ремонтной бригады «дверников»	1 500,00	2 000,00
	Вызывная панель Fantasy  FHD Black v/4688	6 946,00	6 251,00
	Вызывная панель Fantasy MRK FHD Black (кодовая)	9 490,00	9 490,00
	Вызывная панель Fantasy MRK FHD White (кодовая)	1 010,00	9 000,00
	Вызывная панель Optimus Black Edition DSI-12IR(b)	10 200,00	8 700,00
	Вызывная панель Optimus Black Edition DSI-12IR(g)	10 200,00	8 700,00
	Вызывная панель Optimus D S N-1080w	9 420,00	8 007,00
	Вызывная панель Optimus DS-700 медь	4 647,00	4 200,00
	Вызывная панель Optimus DS-700 серебро	3 800,00	3 230,00
	Вызывная панель Optimus DS-700L серебро	4 348,00	3 695,00
	Вызывная панель Optimus DSН-1080	6 085,00	5 172,00
	Вызывная панель TANTOS ipanel 2 (black)	4 800,00	4 500,00
	Вызывная панель видеодомофона DS-700R	3 416,00	2 904,00
	Вызывная панель видеодомофона Optimus DS-700 (медь)	3 817,00	3 245,00
	Вызывная панель видеодомофона Optimus DS-700 медь	5 175,00	4 399,00
	Вызывная панель видеодомофона Optinus -1080/1 (белый)	6 132,00	7 214,00
	Вызывная панель видеодомофона Optinus -1080/1 (черный)	6 132,00	7 214,00
	Вызывная панель МК 2003.2 MFE	10 500,00	10 000,00
	Вызывная панель МК 2003.2 MFE (после ремонта)	2 500,00	2 300,00
	Вызывная панель МК 2003.2 MFEV	14 702,00	12 252,00
	Вызывная панель МК 2008.2 MFE	12 100,00	11 650,00
	Вызывная панель на 2 абонента Fantasy 2 silver NoviCam	5 790,00	5 211,00
	Выключатель автоматический 1пол 10Ампер	180,00	175,00
	Выключатель автоматический 1пол 16 Ампер	195,00	190,00
	Гайка М4	10,00	8,00
	Гайка М5	10,00	8,00
	Гайка М5 самоконтр	10,00	8,00
	Гайка М6	6,00	6,00
	Гайка М6 самоконтрящая	2,10	2,00
	Гайка М8 самоконтрящая	3,00	3,00
	гвозди	400,00	400,00
	Гель антисептик	598,00	598,00
	Гибкий переход Optimus  mini	802,00	750,00
	Гибкий переход металлический	700,00	630,00
	Гибкий переход цинк	250,00	200,00
	Гибкий переход черный	250,00	200,00
	Гофра 16* (м) внутренняя	15,00	14,00
	Гофра серая Д 20	10,00	9,50
	Гофра серая Д16	20,00	15,00
	Гофра черная Д 20	35,00	32,00
	Гофра черная Д16	22,00	20,00
	Гофра черная Д25	32,00	30,00
	Грунтовка Otex Primer A 0,9 л	300,00	280,00
	Держатель трубки 0,25мм высокий	180,00	180,00
	Детектор скрытой проводки и металла	850,00	800,00
	Динамик DXI50N-С 0.5W 50ohm	115,00	110,00
	Динамик бол	150,00	130,00
	Динамик мал	130,00	120,00
	Диск алмазный на болгарку по камню	250,00	230,00
	Диск отрезной по металлу	35,00	32,00
	Доводчик NORA-M 100	1 500,00	1 300,00
	Доводчик NORA-M 150	1 700,00	1 500,00
	Доводчик NORA-M 430	1 700,00	1 500,00
	Доводчик NORA-M 430 (120КГ)	2 000,00	1 850,00
	Доводчик Notedo DC 100	1 500,00	1 350,00
	Доводчик Notedo DC 150	1 700,00	1 500,00
	Доставка ключей	300,00	
	Дюбель 10*135	15,00	14,00
	Дюбель 10*80	12,00	11,00
	Дюбель 6*37	1,00	1,00
	Дюбель 6*42	2,00	1,80
	Дюбель хомут для гофры серый	3,00	2,70
	Дюбель хомут для черный прямоугольный	2,00	2,00
	Дюбель хомут круглый белый  5-10мм	8,00	8,00
	Дюбель хомут круглый черный 5-10мм	1,30	1,20
	Дюбель хомут черный для плоского кабеля	3,00	2,50
	Жесткий диск 0,5 ТБ	8 000,00	7 500,00
	Жесткий диск 1,0 ТБ	9 807,00	9 316,00
	Жесткий диск 1ТБ	6 999,00	6 550,00
	Жесткий диск 1ТБ SkyHawk	4 700,00	
	Жесткий диск 2ТБ	7 700,00	7 500,00
	Жесткий диск 2ТБ для видеонаблюдения	7 800,00	7 500,00
	Жесткий диск 4ТБ  SkyHawk	11 000,00	10 500,00
	Жесткий диск 6ТБ  SkyHawk	18 840,00	17 000,00
	Заглушка на профтрубу 20*20	25,00	25,00
	Заглушка на профтрубу 40*20	24,00	22,00
	Заглушка на профтрубу 40*25	28,00	26,00
	Заглушка на профтрубу 50*25	32,00	30,00
	Зажим анкерный	200,00	185,00
	Зажим для троса 2мм	20,00	19,00
	Зажим для троса 3мм	80,00	75,00
	Заклепки 4 х 10мм	3,00	2,90
	Заливка тумбы бетонной по шлагбаум	5 000,00	
	Замена блока питания	500,00	450,00
	Замена блока сопряжения	750,00	
	Замена вызывной панели (одноабонентной, без переделки места крепления)	500,00	
	Замена доводчика	200,00	
